##Sandbox_CDDA_KeepStandBrute_tooltip::en = "",
##Sandbox_CDDA_KeepStandBrute_tooltip::ja::processed::unverified = "",
##Sandbox_CDDA_KeepStandHulk_tooltip::en = "",
##Sandbox_CDDA_KeepStandHulk_tooltip::ja::processed::unverified = "",
##Sandbox_CDDA_KeepStandSheriff_tooltip::en = "",
##Sandbox_CDDA_KeepStandSheriff_tooltip::ja::processed::unverified = "",
##Sandbox_CDDA_KeepStandShockerBeast_tooltip::en = "",
##Sandbox_CDDA_KeepStandShockerBeast_tooltip::ja::processed::unverified = "",
##Sandbox_CDDA_KeepStandWresller_tooltip::en = "",
##Sandbox_CDDA_KeepStandWresller_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_MasterZ_tooltip::en = "Speed: Slow HP: Normal (Can evolve nearby zombies)",
Sandbox_CDDA_MasterZ_tooltip::ja::processed::unverified = "速度: 遅い HP: 通常 (近くのゾンビを進化させることができる)",
Sandbox_CDDA_NameTag::en = "",
Sandbox_CDDA_NameTag::ja::processed::unverified = "",
Sandbox_CDDA_NameTag_tooltip::en = "",
Sandbox_CDDA_NameTag_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_NecromancerZ::en = "",
Sandbox_CDDA_NecromancerZ::ja::processed::unverified = "",
Sandbox_CDDA_NecromancerZ_tooltip::en = "",
Sandbox_CDDA_NecromancerZ_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_Nightmare::en = "",
Sandbox_CDDA_Nightmare::ja::processed::unverified = "",
Sandbox_CDDA_Nightmare_tooltip::en = "",
Sandbox_CDDA_Nightmare_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_NoBrute::en = "",
Sandbox_CDDA_NoBrute::ja::processed::unverified = "",
Sandbox_CDDA_NoBrute_tooltip::en = "",
Sandbox_CDDA_NoBrute_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_NormalZ::en = "Normal Z Spawn Rate",
Sandbox_CDDA_NormalZ::ja::processed::unverified = "Normal Zの出現率",
Sandbox_CDDA_NormalZ_tooltip::en = "Speed: Normal HP: Normal",
Sandbox_CDDA_NormalZ_tooltip::ja::processed::unverified = "速度: 通常 HP: 通常",
Sandbox_CDDA_ObeseSpawn::en = "",
Sandbox_CDDA_ObeseSpawn::ja::processed::unverified = "",
Sandbox_CDDA_OutfitZ::en = "Spawn zombies based on outfits",
Sandbox_CDDA_OutfitZ::ja::processed::unverified = "衣装に基づいてゾンビをスポーンさせる",
Sandbox_CDDA_OutfitZ_tooltip::en = "Create zombie types with specific outfits (e.g. Cop, Firefighter, Soldier, Hazmat and Child)",
Sandbox_CDDA_OutfitZ_tooltip::ja::processed::unverified = "特定の衣装を着たゾンビのタイプを作成します (例: 警官、消防士、兵士、Hazmat、子供)",
Sandbox_CDDA_Predator::en = "",
Sandbox_CDDA_Predator::ja::processed::unverified = "",
Sandbox_CDDA_PredatorScream::en = "",
Sandbox_CDDA_PredatorScream::ja::processed::unverified = "",
Sandbox_CDDA_PredatorSpawn::en = "",
Sandbox_CDDA_PredatorSpawn::ja::processed::unverified = "",
Sandbox_CDDA_RunnerZ::en = "Feral Z Spawn Rate",
Sandbox_CDDA_RunnerZ::ja::processed::unverified = "Feral Zの出現率",
Sandbox_CDDA_RunnerZ_tooltip::en = "Speed: Fast, HP: Normal",
Sandbox_CDDA_RunnerZ_tooltip::ja::processed::unverified = "速度: 速い, HP: 普通",
Sandbox_CDDA_SandBox::en = "Override sandbox settings for zombies",
Sandbox_CDDA_SandBox::ja::processed::unverified = "ゾンビのサンドボックス設定を上書き",
Sandbox_CDDA_SandBox_tooltip::en = "Force to use CDDA default zombie settings, if canceled, sandbox settings for zombies will be used (Some kind of zombies will disappear!)",
Sandbox_CDDA_SandBox_tooltip::ja::processed::unverified = "CDDAデフォルトのゾンビ設定を強制します。キャンセルすると、ゾンビのサンドボックス設定が使用されます（一部のゾンビは出現しなくなります！）",
Sandbox_CDDA_ScreamerZ::en = "Shrieker Z Spawn Rate",
Sandbox_CDDA_ScreamerZ::ja::processed::unverified = "Shrieker Zの出現率",
Sandbox_CDDA_ScreamerZ_tooltip::en = "Speed: Normal HP: Normal (Can scream when following target)",
Sandbox_CDDA_ScreamerZ_tooltip::ja::processed::unverified = "速度: 普通, HP: 普通 (追跡中に叫ぶことがある)",
Sandbox_CDDA_ScreecherZ::en = "Shocker Z Spawn Rate",
Sandbox_CDDA_ScreecherZ::ja::processed::unverified = "Shocker Zの出現率",
Sandbox_CDDA_ScreecherZ_tooltip::en = "Speed: Normal HP: Normal (Can scream louder and cause panic)",
Sandbox_CDDA_ScreecherZ_tooltip::ja::processed::unverified = "速度: 普通, HP: 普通 (より大きな叫び声でパニックを引き起こす)",
Sandbox_CDDA_SheriffSpawn::en = "",
Sandbox_CDDA_SheriffSpawn::ja::processed::unverified = "",
Sandbox_CDDA_ShockerBeast::en = "",
Sandbox_CDDA_ShockerBeast::ja::processed::unverified = "",
Sandbox_CDDA_ShockerBeast_tooltip::en = "",
Sandbox_CDDA_ShockerBeast_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_ShockerZ::en = "Shocker Z Spawn Rate",
Sandbox_CDDA_ShockerZ::ja::processed::unverified = "Shocker Zの出現率",
Sandbox_CDDA_ShockerZ_tooltip::en = "Speed: Normal HP: Normal (Can attack player in a distance by electric shock)",
Sandbox_CDDA_ShockerZ_tooltip::ja::processed::unverified = "速度: 普通, HP: 普通 (電気ショックで遠距離攻撃が可能)",
Sandbox_CDDA_Sickness::en = "",
Sandbox_CDDA_Sickness::ja::processed::unverified = "",
Sandbox_CDDA_Sickness_tooltip::en = "",
Sandbox_CDDA_Sickness_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_SkeletalJuggernautSpawn::en = "",
Sandbox_CDDA_SkeletalJuggernautSpawn::ja::processed::unverified = "",
Sandbox_CDDA_SkeletonRunnerZ::en = "Skeleton Feral Spawn Rate",
Sandbox_CDDA_SkeletonRunnerZ::ja::processed::unverified = "スケルトン・フェラルの出現率",
Sandbox_CDDA_SkeletonRunnerZ_tooltip::en = "Speed: Fast HP: Low",
Sandbox_CDDA_SkeletonRunnerZ_tooltip::ja::processed::unverified = "速度: 速い, HP: 低い",
Sandbox_CDDA_SkeletonZ::en = "Skeleton Spawn Rate",
Sandbox_CDDA_SkeletonZ::ja::processed::unverified = "スケルトンの出現率",
Sandbox_CDDA_SkeletonZ _tooltip::en = "Speed: Normal HP: Low",
Sandbox_CDDA_SkeletonZ _tooltip::ja::processed::unverified = "速度: 普通, HP: 低い",
Sandbox_CDDA_SkeletonZ_tooltip::en = "",
Sandbox_CDDA_SkeletonZ_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_SoldierSpawn::en = "",
Sandbox_CDDA_SoldierSpawn::ja::processed::unverified = "",
Sandbox_CDDA_StrongZ::en = "Tough Z Spawn Rate",
Sandbox_CDDA_StrongZ::ja::processed::unverified = "タフZの出現率",
Sandbox_CDDA_StrongZ_tooltip::en = "Speed: Normal HP: High",
Sandbox_CDDA_StrongZ_tooltip::ja::processed::unverified = "速度: 普通, HP: 高い",
Sandbox_CDDA_SurvivorSpawn::en = "",
Sandbox_CDDA_SurvivorSpawn::ja::processed::unverified = "",
Sandbox_CDDA_SurvivorZ::en = "Survivor Z Spawn Rate",
Sandbox_CDDA_SurvivorZ::ja::processed::unverified = "サバイバーZの出現率",
Sandbox_CDDA_SurvivorZ_tooltip::en = "Speed: Normal HP: Normal (High cognition)",
Sandbox_CDDA_SurvivorZ_tooltip::ja::processed::unverified = "速度: 普通, HP: 普通 (高い認識力)",
Sandbox_CDDA_SwatSpawn::en = "",
Sandbox_CDDA_SwatSpawn::ja::processed::unverified = "",
Sandbox_CDDA_ToughZ::en = "",
Sandbox_CDDA_ToughZ::ja::processed::unverified = "",
Sandbox_CDDA_ToughZ_tooltip::en = "",
Sandbox_CDDA_ToughZ_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_UpdateZombieTag::en = "",
Sandbox_CDDA_UpdateZombieTag::ja::processed::unverified = "",
Sandbox_CDDA_UpdateZombieTag_tooltip::en = "",
Sandbox_CDDA_UpdateZombieTag_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_WitchZ::en = "Necromancer Z Spawn Rate",
Sandbox_CDDA_WitchZ::ja::processed::unverified = "ネクロマンサーZの出現確率",
Sandbox_CDDA_WitchZ_tooltip::en = "Speed: Slow HP: Normal (Can reanimate nearby corpses)",
Sandbox_CDDA_WitchZ_tooltip::ja::processed::unverified = "速度: 遅い HP: 普通 (近くの死体を蘇らせることができる)",
Sandbox_CDDA_WrestlerZ::en = "Wrestler Z Spawn Rate",
Sandbox_CDDA_WrestlerZ::ja::processed::unverified = "レスラーZの出現確率",
Sandbox_CDDA_WrestlerZ_tooltip::en = "Speed: Normal HP: Hign (Can push player when attacking)",
Sandbox_CDDA_WrestlerZ_tooltip::ja::processed::unverified = "速度: 普通 HP: 高い (攻撃時にプレイヤーを押すことができる)",
Sandbox_CDDA_ZombieForAll::en = "",
Sandbox_CDDA_ZombieForAll::ja::processed::unverified = "",
Sandbox_CDDA_ZombieForAll_tooltip::en = "",
Sandbox_CDDA_ZombieForAll_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_Zombies::en = "CDDA Zombies' Spawn Rate",
Sandbox_CDDA_Zombies::ja::processed::unverified = "CDDAゾンビの出現確率",
Sandbox_CDDA_ZombiesFunc::en = "",
Sandbox_CDDA_ZombiesFunc::ja::processed::unverified = "",
Sandbox_CDDA_ZombiesFunc2::en = "",
Sandbox_CDDA_ZombiesFunc2::ja::processed::unverified = "",
Sandbox_CDDA_ZombiesFunc3::en = "",
Sandbox_CDDA_ZombiesFunc3::ja::processed::unverified = "",
Sandbox_CDDA_ZombiesFunc4::en = "",
Sandbox_CDDA_ZombiesFunc4::ja::processed::unverified = "",
Sandbox_CDDA_ZombiesFunc5::en = "",
Sandbox_CDDA_ZombiesFunc5::ja::processed::unverified = "",
Sandbox_CDDA_ZombiesFunc6::en = "",
Sandbox_CDDA_ZombiesFunc6::ja::processed::unverified = "",
Sandbox_CDDA_sandBoxOptionMOMAAverage::en = "",
Sandbox_CDDA_sandBoxOptionMOMAAverage::ja::processed::unverified = "",
Sandbox_CDDA_sandBoxOptionMOMAAverageMaxDamage::en = "",
Sandbox_CDDA_sandBoxOptionMOMAAverageMaxDamage::ja::processed::unverified = "",
Sandbox_CDDA_sandBoxOptionMOMAAverageMinDamage::en = "",
Sandbox_CDDA_sandBoxOptionMOMAAverageMinDamage::ja::processed::unverified = "",
Sandbox_CDDA_sandBoxOptionMOMACanHurt::en = "",
Sandbox_CDDA_sandBoxOptionMOMACanHurt::ja::processed::unverified = "",
Sandbox_CDDA_sandBoxOptionMOMACanHurt_tooltip::en = "",
Sandbox_CDDA_sandBoxOptionMOMACanHurt_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_sandBoxOptionMOMACanSay::en = "",
Sandbox_CDDA_sandBoxOptionMOMACanSay::ja::processed::unverified = "",
Sandbox_CDDA_sandBoxOptionMOMACanSay_tooltip::en = "",
Sandbox_CDDA_sandBoxOptionMOMACanSay_tooltip::ja::processed::unverified = "",
Sandbox_CDDA_sandBoxOptionMOMADoor::en = "",
Sandbox_CDDA_sandBoxOptionMOMADoor::ja::processed::unverified = "",
Sandbox_CDDA_sandBoxOptionMOMAMaxDamage::en = "",
Sandbox_CDDA_sandBoxOptionMOMAMaxDamage::ja::processed::unverified = "",
Sandbox_CDDA_sandBoxOptionMOMAMinDamage::en = "",
Sandbox_CDDA_sandBoxOptionMOMAMinDamage::ja::processed::unverified = "",
Sandbox_CDDA_sandBoxOptionMOMATree::en = "",
Sandbox_CDDA_sandBoxOptionMOMATree::ja::processed::unverified = "",
UI_trait_CDDA::en = "",
UI_trait_CDDA::ja::processed::unverified = "",
UI_trait_CDDAGained::en = "",
UI_trait_CDDAGained::ja::processed::unverified = "",
UI_trait_CDDARadioactive::en = "",
UI_trait_CDDARadioactive::ja::processed::unverified = "",
UI_trait_CDDAdesc::en = "",
UI_trait_CDDAdesc::ja::processed::unverified = "",
